    0.185000E+01
    0.391000E-01
   200      1     0.620000E-01
  180         0.926334E+01        0.926334E+01        0.926334E+01
  181         0.776781E+01        0.776781E+01        0.776781E+01
  182         0.613320E+01        0.613320E+01        0.613320E+01
  183         0.438993E+01        0.438993E+01        0.438993E+01
  184         0.257064E+01        0.257064E+01        0.257064E+01
  185         0.709658E+00        0.709658E+00        0.709658E+00
  186        -0.115770E+01       -0.115770E+01       -0.115770E+01
  187        -0.299578E+01       -0.299578E+01       -0.299578E+01
  188        -0.476929E+01       -0.476929E+01       -0.476929E+01
  189        -0.644401E+01       -0.644401E+01       -0.644401E+01
  190        -0.798747E+01       -0.798747E+01       -0.798747E+01
  191        -0.936963E+01       -0.936963E+01       -0.936963E+01
  192        -0.105635E+02       -0.105635E+02       -0.105635E+02
  193        -0.115456E+02       -0.115456E+02       -0.115456E+02
  194        -0.122968E+02       -0.122968E+02       -0.122968E+02
  195        -0.128022E+02       -0.128022E+02       -0.128022E+02
  196        -0.130520E+02       -0.130520E+02       -0.130520E+02
  197        -0.130414E+02       -0.130414E+02       -0.130414E+02
  198        -0.127709E+02       -0.127709E+02       -0.127709E+02
  199        -0.122460E+02       -0.122460E+02       -0.122460E+02
  200        -0.114776E+02       -0.114776E+02       -0.114776E+02
